QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_
20151,3006905,2,0,1,200,D,1,D,18,D
20151,3006922,8,0,1,200,D,1,D,50,D
20151,3006922,9,0,1,200,D,1,D,30,D
20151,3007002,2,1,1,200,D,1,D,44,E
20151,3007402,19,0,1,200,D,2,D,53,D
20151,3007402,24,0,2,200,D,12,D,100,D
20151,3007532,2,201,1,200,D,12,D,14,E
20151,3007532,2,301,1,200,D,12,D,3,E
20151,3007742,6,0,1,200,D,1,D,105,D
20151,3007742,8,0,1,200,D,1,D,21,D
20151,3007972,8,0,2,200,D,12,D,.,H
20151,3007972,8,300,2,200,D,12,D,32,E
20151,3007972,8,400,2,200,D,12,D,28,E
20151,3008292,1,103,1,200,D,12,D,11,E
20151,3008292,1,203,1,200,D,12,D,26,E
20151,3008332,8,0,1,200,D,1,D,86,D
20151,3008332,9,0,1,200,D,2,D,86,D
20151,3008332,11,0,2,200,D,12,D,162,D
20151,3008372,2,4,1,200,D,12,D,45,E
20151,3008502,9,0,1,200,D,2,D,34,D
20151,3008512,3,0,1,200,D,2,D,40,D
20151,3008542,4,3,1,200,D,12,D,154,E
20151,3008562,1,0,1,200,D,2,D,5,D
20151,3008612,6,2,1,200,D,1,D,49,E
20151,3008632,5,0,1,200,D,12,D,25,D
20151,3008942,3,0,1,200,D,12,D,40,D
20151,3008962,8,0,1,200,D,12,D,10,D
20151,3009262,4,102,1,200,D,1,D,45,E
20151,3009262,4,202,1,200,D,1,D,24,E
20151,3009262,4,302,1,200,D,1,D,23,E
20151,3009772,4,102,2,200,D,12,D,21,E
20151,3009772,4,202,2,200,D,12,D,48,E
20151,3009782,1,302,1,200,D,12,D,7,E
20151,3009782,1,402,1,200,D,12,D,7,E
20151,3009932,4,0,1,200,D,2,D,50,D
20151,3010312,8,4,1,200,D,12,D,32,E
20151,3010423,2,2,1,200,D,12,D,44,E
20151,3010483,3,0,1,200,D,2,D,50,D
20151,3010792,1,0,1,200,D,1,D,60,D
20151,3010862,1,1,1,200,D,2,D,48,E
20151,3010882,7,2,1,200,D,1,D,107,E
